Airport,Latitude,Longitude
OTZ,66.88469696,-162.598999
OWB,37.74010086,-87.16680145
PAE,47.90629959,-122.2819977
PAH,37.06079865,-88.77380371
PBG,44.65090179,-73.4681015
PBI,26.68320084,-80.09559631
PDX,45.58869934,-122.5979996
PGD,26.92020035,-81.9905014
PGV,35.6352005,-77.38529968
PHF,37.13190079,-76.49299622
PHL,39.87189865,-75.2410965
PHX,33.43429947,-112.012001
PIA,40.66419983,-89.69329834
PIB,31.46710014,-89.33709717
PIE,27.91020012,-82.68740082
PIH,42.90980148,-112.5960007
PIR,44.38270187,-100.2860031
PIT,40.49150085,-80.23290253
PLN,45.57089996,-84.79669952
PNS,30.47340012,-87.18659973
PPG,,
PRC,34.65449905,-112.4199982
PSC,46.26470184,-119.1190033
PSE,,
PSG,56.80170059,-132.9450073
PSM,43.07789993,-70.82330322
PSP,33.82970047,-116.5070038
PUB,38.28910065,-104.4970016
PVD,41.732601,-71.420403
PVU,40.21920013,-111.7229996
PWM,43.64619827,-70.30930328
RAP,44.04529953,-103.0569992
RDD,40.50899887,-122.2929993
RDM,44.2541008,-121.1500015
RDU,35.87760162,-78.78749847
RFD,42.19540024,-89.09719849
RHI,45.63119888,-89.46749878
RIC,37.50519943,-77.31970215
RKS,41.5942,-109.065001
RNO,39.49909973,-119.7679977
ROA,37.3255,-79.975403
ROC,43.1189003,-77.67240143
ROW,33.30160141,-104.5309982
RST,43.90829849,-92.5
RSW,26.53619957,-81.75520325
SAF,35.61709976,-106.0889969
SAN,32.73360062,-117.1900024
SAT,29.53370094,-98.46980286
SAV,32.12760162,-81.20210266
SBA,34.42620087,-119.8399963
SBN,41.70869827,-86.31729889
SBP,35.23680115,-120.6419983
SCC,70.19470215,-148.4649963
SCE,40.84930038,-77.84870148
SCK,37.89419937,-121.237999
SDF,38.1744,-85.736
SEA,47.449001,-122.308998
SFB,28.77759933,-81.23750305
SFO,37.61899948,-122.375
SGF,37.24570084,-93.38860321
SGU,37.036389,-113.510306
SHD,38.26380157,-78.89640045
SHV,32.446602,-93.8256
SIT,57.04710007,-135.3619995
SJC,37.362598,-121.929001
SJT,31.35770035,-100.4960022
SJU,,
SLC,40.78839874,-111.9779968
SLN,38.79100037,-97.65219879
SMF,38.69540024,-121.5910034
SMX,34.89889908,-120.4570007
SNA,33.67570114,-117.8679962
SPI,39.84410095,-89.67790221999999
SPN,,
SPS,33.9888,-98.491898
SRQ,27.39539909,-82.55439758
STC,45.54660034,-94.05989838
STL,38.748697,-90.370003
STS,38.50899887,-122.8130035
STT,,
STX,,
SUN,43.50439835,-114.2959976
SUX,42.40259933,-96.38439941
SWF,41.5041008,-74.10479736
SWO,36.16120148,-97.08570099
SYR,43.11119843,-76.10630035
TLH,30.39649963,-84.35030365
TOL,41.58679962,-83.80780029
TPA,27.97550011,-82.53320313
TRI,36.475201,-82.407401
TTN,40.27669907,-74.81349945
TUL,36.19839859,-95.88809967
TUS,32.11610031,-110.9410019
TVC,44.74140167,-85.5821991
TWF,42.4818,-114.487999
TXK,33.45370102,-93.99099731
TYR,32.35409927,-95.40239716
TYS,35.81100082,-83.9940033
UIN,39.94269943,-91.19460297
USA,35.387798,-80.709099
VEL,40.4408989,-109.5100021
VLD,30.78249931,-83.27670288
VPS,30.4832,-86.525398
WRG,56.48429871,-132.3699951
WYS,44.68840027,-111.1179962
XNA,36.281898,-94.306801
YAK,59.50329971,-139.6600037
YNG,41.26070023,-80.67910004
YUM,32.65660095,-114.6060028
