"Route","avg_delay","range"
6355,3.09302325581395,"(0,15]"
3149,3.11935313763403,"(0,15]"
6490,3.11970074812968,"(0,15]"
4151,3.125,"(0,15]"
1407,3.14285714285714,"(0,15]"
29,3.14828897338403,"(0,15]"
4260,3.15789473684211,"(0,15]"
4695,3.17647058823529,"(0,15]"
4773,3.18224299065421,"(0,15]"
3242,3.18589743589744,"(0,15]"
2567,3.20783322804801,"(0,15]"
2098,3.22413793103448,"(0,15]"
3314,3.23076923076923,"(0,15]"
4854,3.23529411764706,"(0,15]"
32,3.31455399061033,"(0,15]"
3642,3.34375,"(0,15]"
4479,3.36042402826855,"(0,15]"
6358,3.36363636363636,"(0,15]"
5978,3.4,"(0,15]"
1948,3.41025641025641,"(0,15]"
2999,3.42765567765568,"(0,15]"
12,3.42857142857143,"(0,15]"
6425,3.42857142857143,"(0,15]"
107,3.43362831858407,"(0,15]"
6234,3.43497757847534,"(0,15]"
2917,3.4375,"(0,15]"
258,3.49295774647887,"(0,15]"
6208,3.5,"(0,15]"
2217,3.5072122460995,"(0,15]"
2997,3.56950965049557,"(0,15]"
125,3.57240204429302,"(0,15]"
4778,3.625,"(0,15]"
959,3.6875,"(0,15]"
5193,3.69230769230769,"(0,15]"
3564,3.71621621621622,"(0,15]"
3684,3.72222222222222,"(0,15]"
3398,3.7265625,"(0,15]"
460,3.78947368421053,"(0,15]"
4799,3.79134860050891,"(0,15]"
3151,3.79465541490858,"(0,15]"
122,3.82199710564399,"(0,15]"
3550,3.8996015936255,"(0,15]"
6135,3.91052299936988,"(0,15]"
2889,3.92307692307692,"(0,15]"
4568,3.94736842105263,"(0,15]"
1326,3.95677233429395,"(0,15]"
4805,3.9743119266055,"(0,15]"
1298,4,"(0,15]"
2833,4,"(0,15]"
3250,4,"(0,15]"
5930,4,"(0,15]"
5749,4.00797872340426,"(0,15]"
3554,4.0161369193154,"(0,15]"
3353,4.02173913043478,"(0,15]"
5084,4.04166666666667,"(0,15]"
5003,4.05555555555556,"(0,15]"
1419,4.07692307692308,"(0,15]"
4470,4.0846394984326,"(0,15]"
758,4.11069418386492,"(0,15]"
2348,4.11111111111111,"(0,15]"
759,4.14150943396226,"(0,15]"
5189,4.17313432835821,"(0,15]"
5085,4.1744966442953,"(0,15]"
2022,4.17910447761194,"(0,15]"
5008,4.18498168498169,"(0,15]"
6060,4.2,"(0,15]"
4490,4.20588235294118,"(0,15]"
4403,4.21319486866219,"(0,15]"
1145,4.22222222222222,"(0,15]"
5464,4.22592592592593,"(0,15]"
6550,4.25,"(0,15]"
6554,4.27140255009108,"(0,15]"
3215,4.27160493827161,"(0,15]"
5693,4.29752851711027,"(0,15]"
4401,4.30014709815459,"(0,15]"
1799,4.34782608695652,"(0,15]"
6680,4.35849056603774,"(0,15]"
5236,4.36,"(0,15]"
6203,4.37901498929336,"(0,15]"
6426,4.38661710037175,"(0,15]"
4825,4.40552325581395,"(0,15]"
671,4.40652818991098,"(0,15]"
60,4.42857142857143,"(0,15]"
6474,4.42857142857143,"(0,15]"
6054,4.43333333333333,"(0,15]"
4007,4.43373493975904,"(0,15]"
2251,4.44,"(0,15]"
6216,4.45783132530121,"(0,15]"
128,4.45930599369085,"(0,15]"
4803,4.490625,"(0,15]"
3173,4.5,"(0,15]"
3548,4.50279329608939,"(0,15]"
3246,4.50625,"(0,15]"
408,4.51351351351351,"(0,15]"
2560,4.58135283363803,"(0,15]"
109,4.58305647840532,"(0,15]"
2760,4.59417040358744,"(0,15]"
3181,4.59751037344398,"(0,15]"
2338,4.6,"(0,15]"
5009,4.62222222222222,"(0,15]"
1278,4.64406779661017,"(0,15]"
907,4.6640625,"(0,15]"
6650,4.69230769230769,"(0,15]"
5748,4.703125,"(0,15]"
4819,4.70802919708029,"(0,15]"
6655,4.71052631578947,"(0,15]"
6037,4.73076923076923,"(0,15]"
3978,4.73478260869565,"(0,15]"
4405,4.7421568627451,"(0,15]"
5801,4.74489795918367,"(0,15]"
3551,4.75366568914956,"(0,15]"
5048,4.75970425138632,"(0,15]"
2420,4.76629072681704,"(0,15]"
4367,4.76938369781312,"(0,15]"
4777,4.7906976744186,"(0,15]"
116,4.795625,"(0,15]"
1998,4.80711825487945,"(0,15]"
4792,4.8283378746594,"(0,15]"
4314,4.86363636363636,"(0,15]"
494,4.87423312883436,"(0,15]"
2542,4.875,"(0,15]"
5806,4.88669950738916,"(0,15]"
4770,4.89473684210526,"(0,15]"
486,4.90785907859079,"(0,15]"
6453,4.91489361702128,"(0,15]"
1526,4.91666666666667,"(0,15]"
4808,4.91774530271399,"(0,15]"
5006,4.92027729636049,"(0,15]"
4502,4.92531522793404,"(0,15]"
4398,4.92857142857143,"(0,15]"
117,4.94117647058824,"(0,15]"
6564,4.96010638297872,"(0,15]"
3570,4.96428571428571,"(0,15]"
40,4.97058823529412,"(0,15]"
4488,4.97689075630252,"(0,15]"
5795,4.99259259259259,"(0,15]"
815,4.99813432835821,"(0,15]"
3484,5,"(0,15]"
6183,5.00473933649289,"(0,15]"
678,5.01041666666667,"(0,15]"
4817,5.01133786848073,"(0,15]"
5581,5.03092783505155,"(0,15]"
39,5.03628447024673,"(0,15]"
6197,5.03711201079622,"(0,15]"
1751,5.04,"(0,15]"
4344,5.04051565377532,"(0,15]"
131,5.05444355484387,"(0,15]"
114,5.07547169811321,"(0,15]"
6544,5.076171875,"(0,15]"
4489,5.08571428571429,"(0,15]"
6149,5.0868809730669,"(0,15]"
5500,5.10362694300518,"(0,15]"
6176,5.10995850622407,"(0,15]"
6136,5.11103302881237,"(0,15]"
5011,5.11111111111111,"(0,15]"
6252,5.1126213592233,"(0,15]"
546,5.12413793103448,"(0,15]"
3590,5.12607944732297,"(0,15]"
3406,5.14897579143389,"(0,15]"
572,5.15217391304348,"(0,15]"
124,5.15447154471545,"(0,15]"
275,5.16,"(0,15]"
5816,5.18910411622276,"(0,15]"
278,5.2,"(0,15]"
6129,5.20149253731343,"(0,15]"
934,5.23220973782772,"(0,15]"
100,5.23809523809524,"(0,15]"
130,5.24859813084112,"(0,15]"
4932,5.25,"(0,15]"
5733,5.25,"(0,15]"
2393,5.27083333333333,"(0,15]"
5534,5.29348556077905,"(0,15]"
5119,5.30263157894737,"(0,15]"
4775,5.30965005302227,"(0,15]"
1657,5.31182795698925,"(0,15]"
3695,5.32142857142857,"(0,15]"
2558,5.32720588235294,"(0,15]"
1567,5.33333333333333,"(0,15]"
2520,5.35051546391753,"(0,15]"
4392,5.35761589403973,"(0,15]"
281,5.36842105263158,"(0,15]"
4086,5.37037037037037,"(0,15]"
4866,5.38235294117647,"(0,15]"
5951,5.40673575129534,"(0,15]"
5427,5.40718562874252,"(0,15]"
6030,5.41125541125541,"(0,15]"
2730,5.41958041958042,"(0,15]"
4812,5.4294003868472,"(0,15]"
3920,5.44095532950022,"(0,15]"
2260,5.44444444444444,"(0,15]"
6224,5.4503937007874,"(0,15]"
5772,5.47466960352423,"(0,15]"
3532,5.47826086956522,"(0,15]"
5558,5.47830059387848,"(0,15]"
1488,5.48214285714286,"(0,15]"
6199,5.48275862068965,"(0,15]"
4343,5.50638977635783,"(0,15]"
171,5.51497005988024,"(0,15]"
3986,5.52866242038217,"(0,15]"
1643,5.53658536585366,"(0,15]"
669,5.55996393146979,"(0,15]"
6174,5.57401812688822,"(0,15]"
6205,5.57636363636364,"(0,15]"
3172,5.59778597785978,"(0,15]"
401,5.6,"(0,15]"
6020,5.61111111111111,"(0,15]"
3147,5.61380597014925,"(0,15]"
127,5.63796680497925,"(0,15]"
1489,5.63883089770355,"(0,15]"
4853,5.64,"(0,15]"
5706,5.64497041420118,"(0,15]"
2936,5.65094339622642,"(0,15]"
3303,5.66666666666667,"(0,15]"
2566,5.69230769230769,"(0,15]"
5135,5.70454545454545,"(0,15]"
3191,5.70899470899471,"(0,15]"
5364,5.73684210526316,"(0,15]"
1542,5.75,"(0,15]"
3519,5.75,"(0,15]"
5608,5.75,"(0,15]"
6108,5.75049900199601,"(0,15]"
195,5.7696335078534,"(0,15]"
4220,5.79738562091503,"(0,15]"
3419,5.80769230769231,"(0,15]"
5093,5.80909090909091,"(0,15]"
2240,5.81211180124224,"(0,15]"
673,5.81692732290708,"(0,15]"
4508,5.81724137931035,"(0,15]"
676,5.82879377431907,"(0,15]"
4781,5.83095090118086,"(0,15]"
4806,5.83230452674897,"(0,15]"
6221,5.83468395461913,"(0,15]"
264,5.83582089552239,"(0,15]"
5754,5.83908045977012,"(0,15]"
2084,5.84210526315789,"(0,15]"
3145,5.84210526315789,"(0,15]"
4795,5.84615384615385,"(0,15]"
5086,5.84615384615385,"(0,15]"
6543,5.875,"(0,15]"
422,5.87628865979381,"(0,15]"
6288,5.88,"(0,15]"
4014,5.88235294117647,"(0,15]"
4831,5.89130434782609,"(0,15]"
6170,5.89888888888889,"(0,15]"
6194,5.91772151898734,"(0,15]"
5796,5.91875474563402,"(0,15]"
2908,5.93211009174312,"(0,15]"
5819,5.9696,"(0,15]"
2018,5.97058823529412,"(0,15]"
3896,5.99345335515548,"(0,15]"
5418,6,"(0,15]"
6167,6.0072167428434,"(0,15]"
982,6.00806451612903,"(0,15]"
106,6.00968783638321,"(0,15]"
6159,6.01828153564899,"(0,15]"
220,6.02587800369686,"(0,15]"
6368,6.02941176470588,"(0,15]"
5520,6.03284023668639,"(0,15]"
6134,6.03368003962358,"(0,15]"
74,6.03448275862069,"(0,15]"
3139,6.04672897196262,"(0,15]"
105,6.04697986577181,"(0,15]"
4211,6.04761904761905,"(0,15]"
6172,6.05784204671858,"(0,15]"
6659,6.06230529595016,"(0,15]"
4305,6.06779661016949,"(0,15]"
119,6.08217770929635,"(0,15]"
1062,6.08333333333333,"(0,15]"
6566,6.08695652173913,"(0,15]"
924,6.09302325581395,"(0,15]"
3573,6.09903381642512,"(0,15]"
6072,6.1034151034151,"(0,15]"
6410,6.10606060606061,"(0,15]"
6137,6.11958041958042,"(0,15]"
3140,6.12244897959184,"(0,15]"
4807,6.12328767123288,"(0,15]"
4823,6.1401031158933,"(0,15]"
389,6.14285714285714,"(0,15]"
5671,6.14391143911439,"(0,15]"
663,6.14541622760801,"(0,15]"
2213,6.15466195315952,"(0,15]"
3130,6.17331022530329,"(0,15]"
1269,6.1846298031865,"(0,15]"
5879,6.1958041958042,"(0,15]"
5791,6.21407185628743,"(0,15]"
4122,6.22222222222222,"(0,15]"
2355,6.23076923076923,"(0,15]"
6239,6.23165137614679,"(0,15]"
5433,6.24420529801325,"(0,15]"
3755,6.24475524475525,"(0,15]"
4828,6.24556213017751,"(0,15]"
5378,6.25,"(0,15]"
1028,6.25551601423488,"(0,15]"
2514,6.26168224299065,"(0,15]"
6116,6.26903553299492,"(0,15]"
4322,6.27012987012987,"(0,15]"
5839,6.27017543859649,"(0,15]"
4492,6.2803738317757,"(0,15]"
6045,6.28115942028986,"(0,15]"
4205,6.28571428571429,"(0,15]"
6257,6.28721082496726,"(0,15]"
6244,6.29042904290429,"(0,15]"
2048,6.29530201342282,"(0,15]"
120,6.29565217391304,"(0,15]"
4862,6.30522088353414,"(0,15]"
3742,6.31,"(0,15]"
6188,6.32228666114333,"(0,15]"
4776,6.32794117647059,"(0,15]"
4790,6.34213547646383,"(0,15]"
4992,6.34488028527764,"(0,15]"
3925,6.34782608695652,"(0,15]"
3259,6.35263157894737,"(0,15]"
3362,6.35294117647059,"(0,15]"
6142,6.35675408213756,"(0,15]"
62,6.36655948553055,"(0,15]"
3211,6.37931034482759,"(0,15]"
5742,6.38,"(0,15]"
243,6.38239159001314,"(0,15]"
3731,6.39236111111111,"(0,15]"
3333,6.39285714285714,"(0,15]"
3010,6.4,"(0,15]"
3887,6.40508067284586,"(0,15]"
4972,6.40919496375429,"(0,15]"
250,6.41589811155029,"(0,15]"
496,6.41721854304636,"(0,15]"
1455,6.41813602015113,"(0,15]"
3651,6.42199894235854,"(0,15]"
516,6.42241379310345,"(0,15]"
3416,6.42857142857143,"(0,15]"
4193,6.43145161290323,"(0,15]"
57,6.43177570093458,"(0,15]"
596,6.4333843797856,"(0,15]"
2401,6.4380574826561,"(0,15]"
6017,6.46153846153846,"(0,15]"
2577,6.46710526315789,"(0,15]"
597,6.47058823529412,"(0,15]"
5103,6.47777777777778,"(0,15]"
2069,6.48286367098248,"(0,15]"
5229,6.48301886792453,"(0,15]"
4818,6.48427073403241,"(0,15]"
5809,6.49261992619926,"(0,15]"
3142,6.49705882352941,"(0,15]"
499,6.5,"(0,15]"
6647,6.5,"(0,15]"
624,6.50822669104205,"(0,15]"
6132,6.50983050847458,"(0,15]"
4816,6.51232876712329,"(0,15]"
6552,6.51523864289822,"(0,15]"
4210,6.51933701657459,"(0,15]"
6111,6.5210843373494,"(0,15]"
987,6.52941176470588,"(0,15]"
484,6.53422053231939,"(0,15]"
3854,6.53482587064677,"(0,15]"
6417,6.53974895397489,"(0,15]"
6684,6.54317548746518,"(0,15]"
524,6.5502538071066,"(0,15]"
6192,6.56420927467301,"(0,15]"
5109,6.57142857142857,"(0,15]"
4374,6.578418230563,"(0,15]"
1507,6.58441558441558,"(0,15]"
3264,6.59615384615385,"(0,15]"
213,6.6,"(0,15]"
2551,6.60869565217391,"(0,15]"
2357,6.61538461538461,"(0,15]"
3609,6.62023346303502,"(0,15]"
5055,6.62648221343874,"(0,15]"
3972,6.6294930875576,"(0,15]"
3390,6.640625,"(0,15]"
332,6.66423948220065,"(0,15]"
5512,6.66666666666667,"(0,15]"
6082,6.66666666666667,"(0,15]"
4809,6.66746554823247,"(0,15]"
3207,6.6789667896679,"(0,15]"
6160,6.6875,"(0,15]"
6430,6.70093457943925,"(0,15]"
6125,6.70145190562613,"(0,15]"
6233,6.70400701959637,"(0,15]"
5142,6.70872707059478,"(0,15]"
6139,6.71014492753623,"(0,15]"
633,6.71428571428571,"(0,15]"
230,6.71505376344086,"(0,15]"
2065,6.73684210526316,"(0,15]"
453,6.73913043478261,"(0,15]"
6229,6.74517223382046,"(0,15]"
1015,6.75,"(0,15]"
2215,6.75,"(0,15]"
15,6.7504118616145,"(0,15]"
2658,6.75342465753425,"(0,15]"
2290,6.77064220183486,"(0,15]"
1465,6.77089783281734,"(0,15]"
1812,6.77295918367347,"(0,15]"
4774,6.77890082122552,"(0,15]"
6083,6.79187817258883,"(0,15]"
5631,6.80363984674329,"(0,15]"
2010,6.81132075471698,"(0,15]"
218,6.82162162162162,"(0,15]"
4138,6.82587064676617,"(0,15]"
4181,6.83006535947712,"(0,15]"
5066,6.83239595050619,"(0,15]"
6590,6.83577159037282,"(0,15]"
4362,6.83954900260191,"(0,15]"
1285,6.85470085470085,"(0,15]"
1708,6.85977859778598,"(0,15]"
154,6.86917098445596,"(0,15]"
6105,6.87084870848708,"(0,15]"
5207,6.87198515769944,"(0,15]"
5690,6.87218045112782,"(0,15]"
4564,6.875,"(0,15]"
5470,6.875,"(0,15]"
4779,6.88879310344828,"(0,15]"
6131,6.88932038834951,"(0,15]"
2634,6.88970588235294,"(0,15]"
6189,6.88972431077694,"(0,15]"
5814,6.89134742404227,"(0,15]"
4157,6.89510489510489,"(0,15]"
4212,6.90030622660769,"(0,15]"
3216,6.90322580645161,"(0,15]"
6165,6.90551724137931,"(0,15]"
3710,6.91729323308271,"(0,15]"
630,6.91836734693878,"(0,15]"
6313,6.92452830188679,"(0,15]"
954,6.92526758409786,"(0,15]"
2221,6.92944785276074,"(0,15]"
4801,6.93064557946591,"(0,15]"
4409,6.93215739484396,"(0,15]"
6186,6.93335916311507,"(0,15]"
214,6.9352660841938,"(0,15]"
3992,6.94419642857143,"(0,15]"
4797,6.9452380952381,"(0,15]"
6127,6.95661157024793,"(0,15]"
5101,6.95987654320988,"(0,15]"
3315,6.96426735218509,"(0,15]"
4378,6.97556390977444,"(0,15]"
76,6.99249530956848,"(0,15]"
6019,6.99480249480249,"(0,15]"
3624,7,"(0,15]"
4698,7,"(0,15]"
5302,7,"(0,15]"
197,7.00867507886435,"(0,15]"
3547,7.0093558834113,"(0,15]"
3645,7.01262458471761,"(0,15]"
1760,7.01874163319946,"(0,15]"
568,7.02877697841727,"(0,15]"
6227,7.03598416696653,"(0,15]"
418,7.03636363636364,"(0,15]"
149,7.04019688269073,"(0,15]"
783,7.04291553133515,"(0,15]"
268,7.05076679005817,"(0,15]"
187,7.05442176870748,"(0,15]"
2068,7.05450236966825,"(0,15]"
2556,7.05878236529041,"(0,15]"
566,7.05882352941176,"(0,15]"
5625,7.06088560885609,"(0,15]"
3129,7.07246376811594,"(0,15]"
4214,7.08263305322129,"(0,15]"
5985,7.08878504672897,"(0,15]"
4474,7.09333333333333,"(0,15]"
3161,7.1027397260274,"(0,15]"
4187,7.10663308144416,"(0,15]"
5722,7.10675675675676,"(0,15]"
4971,7.11176470588235,"(0,15]"
6658,7.12264150943396,"(0,15]"
1223,7.12337662337662,"(0,15]"
5692,7.12576687116564,"(0,15]"
1997,7.12824675324675,"(0,15]"
3131,7.12876712328767,"(0,15]"
6565,7.14510364546104,"(0,15]"
4134,7.14517766497462,"(0,15]"
4743,7.14838709677419,"(0,15]"
1012,7.15022091310751,"(0,15]"
302,7.15912897822446,"(0,15]"
1876,7.16037735849057,"(0,15]"
5962,7.16666666666667,"(0,15]"
3844,7.16720257234727,"(0,15]"
5781,7.16872427983539,"(0,15]"
5808,7.18382352941176,"(0,15]"
1014,7.18509159823121,"(0,15]"
3607,7.18701870187019,"(0,15]"
2019,7.18837948252383,"(0,15]"
2222,7.18890155834284,"(0,15]"
5237,7.19330855018587,"(0,15]"
4179,7.19695193434936,"(0,15]"
4135,7.20388349514563,"(0,15]"
3974,7.20814767663908,"(0,15]"
3143,7.20966271649954,"(0,15]"
254,7.21164021164021,"(0,15]"
5817,7.21227080394922,"(0,15]"
1989,7.21514971247273,"(0,15]"
2527,7.21621621621622,"(0,15]"
3909,7.22349206349206,"(0,15]"
6600,7.22370936902486,"(0,15]"
4307,7.24,"(0,15]"
6179,7.2415949960907,"(0,15]"
2973,7.2431289640592,"(0,15]"
262,7.24754486962411,"(0,15]"
4575,7.25469168900804,"(0,15]"
3355,7.26842420611144,"(0,15]"
3630,7.2725988700565,"(0,15]"
176,7.27265774378585,"(0,15]"
5002,7.27882037533512,"(0,15]"
4830,7.28099173553719,"(0,15]"
4276,7.28169014084507,"(0,15]"
3325,7.28571428571429,"(0,15]"
4480,7.28571428571429,"(0,15]"
6177,7.29061294470639,"(0,15]"
2759,7.29113924050633,"(0,15]"
6110,7.30051057622174,"(0,15]"
2276,7.30952380952381,"(0,15]"
5721,7.32351208014143,"(0,15]"
3616,7.33156173344235,"(0,15]"
6128,7.33173076923077,"(0,15]"
4733,7.33176470588235,"(0,15]"
6206,7.33512544802867,"(0,15]"
273,7.33654688869413,"(0,15]"
3726,7.3448275862069,"(0,15]"
4769,7.36054421768707,"(0,15]"
5116,7.3609022556391,"(0,15]"
1964,7.36136363636364,"(0,15]"
6574,7.36483516483516,"(0,15]"
1033,7.36487638533674,"(0,15]"
6070,7.3682119205298,"(0,15]"
6255,7.37315241095227,"(0,15]"
5616,7.37640449438202,"(0,15]"
4112,7.38260869565217,"(0,15]"
3203,7.3906089809309,"(0,15]"
4273,7.39944134078212,"(0,15]"
6049,7.40134529147982,"(0,15]"
3713,7.40909090909091,"(0,15]"
6120,7.40917107583774,"(0,15]"
226,7.41822882999354,"(0,15]"
3331,7.42578344905236,"(0,15]"
4822,7.43213128038898,"(0,15]"
4445,7.43478260869565,"(0,15]"
4421,7.44001351808043,"(0,15]"
2081,7.44805709754163,"(0,15]"
4173,7.45676429567643,"(0,15]"
3721,7.46040515653775,"(0,15]"
4249,7.46153846153846,"(0,15]"
3539,7.4639689578714,"(0,15]"
2465,7.46666666666667,"(0,15]"
6561,7.47258979206049,"(0,15]"
5247,7.47397260273973,"(0,15]"
2385,7.47653806047967,"(0,15]"
483,7.47659247889486,"(0,15]"
432,7.47706422018349,"(0,15]"
6190,7.48010610079576,"(0,15]"
215,7.48652585579024,"(0,15]"
6357,7.48989898989899,"(0,15]"
1749,7.49459193706981,"(0,15]"
5738,7.49514374514375,"(0,15]"
1243,7.5,"(0,15]"
3503,7.5,"(0,15]"
4724,7.5,"(0,15]"
5256,7.5,"(0,15]"
2981,7.5017825311943,"(0,15]"
4505,7.5041761579347,"(0,15]"
3990,7.52429149797571,"(0,15]"
543,7.52648736756316,"(0,15]"
6232,7.52770448548813,"(0,15]"
6164,7.53462321792261,"(0,15]"
6173,7.55026455026455,"(0,15]"
4481,7.55185185185185,"(0,15]"
512,7.55496688741722,"(0,15]"
3359,7.55555555555556,"(0,15]"
192,7.55733504163997,"(0,15]"
473,7.56232686980609,"(0,15]"
249,7.56490179333903,"(0,15]"
3533,7.57142857142857,"(0,15]"
545,7.57377049180328,"(0,15]"
781,7.57550713749061,"(0,15]"
4592,7.57692307692308,"(0,15]"
2664,7.58583464981569,"(0,15]"
4786,7.58710801393728,"(0,15]"
184,7.59138799816766,"(0,15]"
5249,7.59693318729463,"(0,15]"
6157,7.59962287869265,"(0,15]"
6486,7.60132890365449,"(0,15]"
1816,7.60240963855422,"(0,15]"
3941,7.60252365930599,"(0,15]"
6106,7.60416019869606,"(0,15]"
3601,7.60599078341014,"(0,15]"
3937,7.60718711276332,"(0,15]"
3575,7.60878243512974,"(0,15]"
5609,7.61454545454545,"(0,15]"
4388,7.61647727272727,"(0,15]"
6191,7.61918396564066,"(0,15]"
161,7.62470930232558,"(0,15]"
6053,7.63256325632563,"(0,15]"
4129,7.63468414779499,"(0,15]"
5810,7.6390977443609,"(0,15]"
4463,7.63985374771481,"(0,15]"
44,7.64285714285714,"(0,15]"
4133,7.64607679465776,"(0,15]"
3361,7.64661654135338,"(0,15]"
4372,7.65896980461812,"(0,15]"
4749,7.66451233842538,"(0,15]"
1915,7.66473988439306,"(0,15]"
110,7.66666666666667,"(0,15]"
564,7.66666666666667,"(0,15]"
5820,7.66743648960739,"(0,15]"
3283,7.66807313642757,"(0,15]"
6362,7.66932270916335,"(0,15]"
6325,7.66937119675456,"(0,15]"
5120,7.68333333333333,"(0,15]"
4485,7.68975265017668,"(0,15]"
3202,7.68993135011442,"(0,15]"
1331,7.69106699751861,"(0,15]"
4107,7.69666048237477,"(0,15]"
5803,7.6984126984127,"(0,15]"
6067,7.70479651162791,"(0,15]"
2400,7.70909090909091,"(0,15]"
1210,7.71978021978022,"(0,15]"
2911,7.72172172172172,"(0,15]"
2063,7.72559095580678,"(0,15]"
6558,7.72566371681416,"(0,15]"
4415,7.72626582278481,"(0,15]"
6068,7.73033707865169,"(0,15]"
3542,7.73249551166966,"(0,15]"
4466,7.73539518900344,"(0,15]"
5613,7.73937153419593,"(0,15]"
4391,7.74159337816865,"(0,15]"
6427,7.74315068493151,"(0,15]"
4700,7.74838152783772,"(0,15]"
3007,7.75,"(0,15]"
3892,7.75,"(0,15]"
5862,7.75247524752475,"(0,15]"
3162,7.7536523929471,"(0,15]"
3364,7.75896387184731,"(0,15]"
1522,7.76190476190476,"(0,15]"
3646,7.76225045372051,"(0,15]"
5775,7.76373333333333,"(0,15]"
3946,7.76577229876722,"(0,15]"
983,7.77272727272727,"(0,15]"
5554,7.77759914255091,"(0,15]"
6005,7.77812995245642,"(0,15]"
231,7.77949183303085,"(0,15]"
5149,7.78522571819425,"(0,15]"
2909,7.79359430604982,"(0,15]"
6023,7.79686520376176,"(0,15]"
5899,7.8015873015873,"(0,15]"
976,7.80487804878049,"(0,15]"
2258,7.80501015572106,"(0,15]"
228,7.80678893178893,"(0,15]"
448,7.80710659898477,"(0,15]"
2418,7.82021466905188,"(0,15]"
5503,7.82191780821918,"(0,15]"
2919,7.82309217046581,"(0,15]"
5058,7.82329635499208,"(0,15]"
5578,7.82340702210663,"(0,15]"
2496,7.82343626286619,"(0,15]"
6171,7.82388059701493,"(0,15]"
2151,7.82648401826484,"(0,15]"
4991,7.82840236686391,"(0,15]"
5588,7.8316041500399,"(0,15]"
6006,7.83648790746583,"(0,15]"
6124,7.83805668016194,"(0,15]"
6250,7.8431271032876,"(0,15]"
3576,7.84615384615385,"(0,15]"
4005,7.84621920135939,"(0,15]"
5062,7.84847496330126,"(0,15]"
5646,7.85714285714286,"(0,15]"
5651,7.85714285714286,"(0,15]"
4476,7.85854529228023,"(0,15]"
3138,7.86070559610706,"(0,15]"
169,7.86168910648715,"(0,15]"
4850,7.86516853932584,"(0,15]"
573,7.8659793814433,"(0,15]"
2073,7.86760219646126,"(0,15]"
2472,7.86890021849964,"(0,15]"
2386,7.86913580246914,"(0,15]"
1990,7.87087653157399,"(0,15]"
239,7.88026674749924,"(0,15]"
677,7.88340530536706,"(0,15]"
1202,7.88768251591164,"(0,15]"
259,7.88967611336032,"(0,15]"
5324,7.89931972789116,"(0,15]"
4860,7.90763052208835,"(0,15]"
4308,7.91213389121339,"(0,15]"
3910,7.91432488005483,"(0,15]"
4995,7.92190152801358,"(0,15]"
6161,7.92377961747074,"(0,15]"
2489,7.92592592592593,"(0,15]"
2070,7.92639842983317,"(0,15]"
2402,7.94991055456172,"(0,15]"
480,7.95614035087719,"(0,15]"
1116,7.96153846153846,"(0,15]"
792,7.96196319018405,"(0,15]"
1056,7.96814671814672,"(0,15]"
1334,7.97380952380952,"(0,15]"
5147,7.97823596792669,"(0,15]"
