Route,ORIGIN,ORIGIN_City_State,Origin_City,Origin_State,DEST,Dest_City_State,Dest_City,Dest_State,DISTANCE
72,AGS,"Augusta, GA",Augusta,GA,ORD,"Chicago, IL",Chicago,IL,677
73,AGS,"Augusta, GA",Augusta,GA,PHL,"Philadelphia, PA",Philadelphia,PA,583
74,AKN,"King Salmon, AK",King Salmon,AK,ANC,"Anchorage, AK",Anchorage,AK,288
75,ALB,"Albany, NY",Albany,NY,ATL,"Atlanta, GA",Atlanta,GA,853
76,ALB,"Albany, NY",Albany,NY,BWI,"Baltimore, MD",Baltimore,MD,289
77,ALB,"Albany, NY",Albany,NY,CLT,"Charlotte, NC",Charlotte,NC,646
78,ALB,"Albany, NY",Albany,NY,DCA,"Washington, DC",Washington,DC,318
79,ALB,"Albany, NY",Albany,NY,DEN,"Denver, CO",Denver,CO,1610
80,ALB,"Albany, NY",Albany,NY,DTW,"Detroit, MI",Detroit,MI,489
81,ALB,"Albany, NY",Albany,NY,EWR,"Newark, NJ",Newark,NJ,143
82,ALB,"Albany, NY",Albany,NY,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,1204
83,ALB,"Albany, NY",Albany,NY,IAD,"Washington, DC",Washington,DC,325
84,ALB,"Albany, NY",Albany,NY,LAS,"Las Vegas, NV",Las Vegas,NV,2237
85,ALB,"Albany, NY",Albany,NY,MCO,"Orlando, FL",Orlando,FL,1073
86,ALB,"Albany, NY",Albany,NY,MDW,"Chicago, IL",Chicago,IL,717
87,ALB,"Albany, NY",Albany,NY,MSP,"Minneapolis, MN",Minneapolis,MN,980
88,ALB,"Albany, NY",Albany,NY,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,685
89,ALB,"Albany, NY",Albany,NY,ORD,"Chicago, IL",Chicago,IL,723
90,ALB,"Albany, NY",Albany,NY,PGD,"Punta Gorda, FL",Punta Gorda,FL,1185
91,ALB,"Albany, NY",Albany,NY,PHL,"Philadelphia, PA",Philadelphia,PA,212
92,ALB,"Albany, NY",Albany,NY,PIE,"St. Petersburg, FL",St. Petersburg,FL,1138
93,ALB,"Albany, NY",Albany,NY,RDU,"Raleigh/Durham, NC",Raleigh/Durham,NC,544
94,ALB,"Albany, NY",Albany,NY,RSW,"Fort Myers, FL",Fort Myers,FL,1205
95,ALB,"Albany, NY",Albany,NY,SAV,"Savannah, GA",Savannah,GA,837
96,ALB,"Albany, NY",Albany,NY,SFB,"Sanford, FL",Sanford,FL,1049
97,ALB,"Albany, NY",Albany,NY,TPA,"Tampa, FL",Tampa,FL,1130
98,ALO,"Waterloo, IA",Waterloo,IA,ORD,"Chicago, IL",Chicago,IL,234
99,AMA,"Amarillo, TX",Amarillo,TX,DAL,"Dallas, TX",Dallas,TX,323
100,AMA,"Amarillo, TX",Amarillo,TX,DEN,"Denver, CO",Denver,CO,359
101,AMA,"Amarillo, TX",Amarillo,TX,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,312
102,AMA,"Amarillo, TX",Amarillo,TX,IAH,"Houston, TX",Houston,TX,517
103,AMA,"Amarillo, TX",Amarillo,TX,LAS,"Las Vegas, NV",Las Vegas,NV,758
104,AMA,"Amarillo, TX",Amarillo,TX,PHX,"Phoenix, AZ",Phoenix,AZ,602
105,ANC,"Anchorage, AK",Anchorage,AK,ADK,"Adak Island, AK",Adak Island,AK,1192
106,ANC,"Anchorage, AK",Anchorage,AK,ADQ,"Kodiak, AK",Kodiak,AK,253
107,ANC,"Anchorage, AK",Anchorage,AK,AKN,"King Salmon, AK",King Salmon,AK,288
108,ANC,"Anchorage, AK",Anchorage,AK,ATL,"Atlanta, GA",Atlanta,GA,3417
109,ANC,"Anchorage, AK",Anchorage,AK,BET,"Bethel, AK",Bethel,AK,399
110,ANC,"Anchorage, AK",Anchorage,AK,BLI,"Bellingham, WA",Bellingham,WA,1371
111,ANC,"Anchorage, AK",Anchorage,AK,CDV,"Cordova, AK",Cordova,AK,160
112,ANC,"Anchorage, AK",Anchorage,AK,DEN,"Denver, CO",Denver,CO,2405
113,ANC,"Anchorage, AK",Anchorage,AK,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,3043
114,ANC,"Anchorage, AK",Anchorage,AK,DLG,"Dillingham, AK",Dillingham,AK,329
115,ANC,"Anchorage, AK",Anchorage,AK,EWR,"Newark, NJ",Newark,NJ,3370
116,ANC,"Anchorage, AK",Anchorage,AK,FAI,"Fairbanks, AK",Fairbanks,AK,261
117,ANC,"Anchorage, AK",Anchorage,AK,HNL,"Honolulu, HI",Honolulu,HI,2777
118,ANC,"Anchorage, AK",Anchorage,AK,IAH,"Houston, TX",Houston,TX,3266
119,ANC,"Anchorage, AK",Anchorage,AK,JNU,"Juneau, AK",Juneau,AK,571
120,ANC,"Anchorage, AK",Anchorage,AK,KOA,"Kona, HI",Kona,HI,2874
121,ANC,"Anchorage, AK",Anchorage,AK,LAS,"Las Vegas, NV",Las Vegas,NV,2304
122,ANC,"Anchorage, AK",Anchorage,AK,LAX,"Los Angeles, CA",Los Angeles,CA,2345
123,ANC,"Anchorage, AK",Anchorage,AK,MSP,"Minneapolis, MN",Minneapolis,MN,2519
124,ANC,"Anchorage, AK",Anchorage,AK,OGG,"Kahului, HI",Kahului,HI,2797
125,ANC,"Anchorage, AK",Anchorage,AK,OME,"Nome, AK",Nome,AK,539
126,ANC,"Anchorage, AK",Anchorage,AK,ORD,"Chicago, IL",Chicago,IL,2846
127,ANC,"Anchorage, AK",Anchorage,AK,OTZ,"Kotzebue, AK",Kotzebue,AK,548
128,ANC,"Anchorage, AK",Anchorage,AK,PDX,"Portland, OR",Portland,OR,1542
129,ANC,"Anchorage, AK",Anchorage,AK,PHX,"Phoenix, AZ",Phoenix,AZ,2552
130,ANC,"Anchorage, AK",Anchorage,AK,SCC,"Deadhorse, AK",Deadhorse,AK,626
131,ANC,"Anchorage, AK",Anchorage,AK,SEA,"Seattle, WA",Seattle,WA,1448
132,ANC,"Anchorage, AK",Anchorage,AK,SFO,"San Francisco, CA",San Francisco,CA,2018
133,ANC,"Anchorage, AK",Anchorage,AK,SLC,"Salt Lake City, UT",Salt Lake City,UT,2125
134,APN,"Alpena, MI",Alpena,MI,DTW,"Detroit, MI",Detroit,MI,198
135,APN,"Alpena, MI",Alpena,MI,MBS,"Saginaw/Bay City/Midland, MI",Saginaw/Bay City/Midland,MI,110
136,APN,"Alpena, MI",Alpena,MI,PLN,"Pellston, MI",Pellston,MI,69
137,ART,"Watertown, NY",Watertown,NY,PHL,"Philadelphia, PA",Philadelphia,PA,287
138,ASE,"Aspen, CO",Aspen,CO,ATL,"Atlanta, GA",Atlanta,GA,1304
139,ASE,"Aspen, CO",Aspen,CO,DEN,"Denver, CO",Denver,CO,125
140,ASE,"Aspen, CO",Aspen,CO,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,701
141,ASE,"Aspen, CO",Aspen,CO,IAH,"Houston, TX",Houston,TX,913
142,ASE,"Aspen, CO",Aspen,CO,LAX,"Los Angeles, CA",Los Angeles,CA,737
143,ASE,"Aspen, CO",Aspen,CO,MSP,"Minneapolis, MN",Minneapolis,MN,802
144,ASE,"Aspen, CO",Aspen,CO,ORD,"Chicago, IL",Chicago,IL,1013
145,ASE,"Aspen, CO",Aspen,CO,PHX,"Phoenix, AZ",Phoenix,AZ,491
146,ASE,"Aspen, CO",Aspen,CO,SFO,"San Francisco, CA",San Francisco,CA,848
147,ASE,"Aspen, CO",Aspen,CO,SLC,"Salt Lake City, UT",Salt Lake City,UT,292
148,ATL,"Atlanta, GA",Atlanta,GA,ABE,"Allentown/Bethlehem/Easton, PA",Allentown/Bethlehem/Easton,PA,692
149,ATL,"Atlanta, GA",Atlanta,GA,ABQ,"Albuquerque, NM",Albuquerque,NM,1269
150,ATL,"Atlanta, GA",Atlanta,GA,ABY,"Albany, GA",Albany,GA,145
151,ATL,"Atlanta, GA",Atlanta,GA,ACY,"Atlantic City, NJ",Atlantic City,NJ,679
152,ATL,"Atlanta, GA",Atlanta,GA,AEX,"Alexandria, LA",Alexandria,LA,500
153,ATL,"Atlanta, GA",Atlanta,GA,AGS,"Augusta, GA",Augusta,GA,143
154,ATL,"Atlanta, GA",Atlanta,GA,ALB,"Albany, NY",Albany,NY,853
155,ATL,"Atlanta, GA",Atlanta,GA,ANC,"Anchorage, AK",Anchorage,AK,3417
156,ATL,"Atlanta, GA",Atlanta,GA,ASE,"Aspen, CO",Aspen,CO,1304
157,ATL,"Atlanta, GA",Atlanta,GA,ATW,"Appleton, WI",Appleton,WI,765
158,ATL,"Atlanta, GA",Atlanta,GA,AUS,"Austin, TX",Austin,TX,813
159,ATL,"Atlanta, GA",Atlanta,GA,AVL,"Asheville, NC",Asheville,NC,164
160,ATL,"Atlanta, GA",Atlanta,GA,AVP,"Scranton/Wilkes-Barre, PA",Scranton/Wilkes-Barre,PA,714
161,ATL,"Atlanta, GA",Atlanta,GA,BDL,"Hartford, CT",Hartford,CT,859
162,ATL,"Atlanta, GA",Atlanta,GA,BHM,"Birmingham, AL",Birmingham,AL,134
163,ATL,"Atlanta, GA",Atlanta,GA,BMI,"Bloomington/Normal, IL",Bloomington/Normal,IL,533
164,ATL,"Atlanta, GA",Atlanta,GA,BNA,"Nashville, TN",Nashville,TN,214
165,ATL,"Atlanta, GA",Atlanta,GA,BOS,"Boston, MA",Boston,MA,946
166,ATL,"Atlanta, GA",Atlanta,GA,BQK,"Brunswick, GA",Brunswick,GA,238
167,ATL,"Atlanta, GA",Atlanta,GA,BTR,"Baton Rouge, LA",Baton Rouge,LA,448
168,ATL,"Atlanta, GA",Atlanta,GA,BTV,"Burlington, VT",Burlington,VT,961
169,ATL,"Atlanta, GA",Atlanta,GA,BUF,"Buffalo, NY",Buffalo,NY,712
170,ATL,"Atlanta, GA",Atlanta,GA,BWI,"Baltimore, MD",Baltimore,MD,577
171,ATL,"Atlanta, GA",Atlanta,GA,BZN,"Bozeman, MT",Bozeman,MT,1640
172,ATL,"Atlanta, GA",Atlanta,GA,CAE,"Columbia, SC",Columbia,SC,192
173,ATL,"Atlanta, GA",Atlanta,GA,CAK,"Akron, OH",Akron,OH,528
174,ATL,"Atlanta, GA",Atlanta,GA,CHA,"Chattanooga, TN",Chattanooga,TN,106
175,ATL,"Atlanta, GA",Atlanta,GA,CHO,"Charlottesville, VA",Charlottesville,VA,457
176,ATL,"Atlanta, GA",Atlanta,GA,CHS,"Charleston, SC",Charleston,SC,259
177,ATL,"Atlanta, GA",Atlanta,GA,CID,"Cedar Rapids/Iowa City, IA",Cedar Rapids/Iowa City,IA,694
178,ATL,"Atlanta, GA",Atlanta,GA,CLE,"Cleveland, OH",Cleveland,OH,554
179,ATL,"Atlanta, GA",Atlanta,GA,CLT,"Charlotte, NC",Charlotte,NC,226
180,ATL,"Atlanta, GA",Atlanta,GA,CMH,"Columbus, OH",Columbus,OH,447
181,ATL,"Atlanta, GA",Atlanta,GA,COS,"Colorado Springs, CO",Colorado Springs,CO,1184
182,ATL,"Atlanta, GA",Atlanta,GA,CRW,"Charleston/Dunbar, WV",Charleston/Dunbar,WV,363
183,ATL,"Atlanta, GA",Atlanta,GA,CSG,"Columbus, GA",Columbus,GA,83
184,ATL,"Atlanta, GA",Atlanta,GA,CVG,"Cincinnati, OH",Cincinnati,OH,373
185,ATL,"Atlanta, GA",Atlanta,GA,DAB,"Daytona Beach, FL",Daytona Beach,FL,366
186,ATL,"Atlanta, GA",Atlanta,GA,DAL,"Dallas, TX",Dallas,TX,721
187,ATL,"Atlanta, GA",Atlanta,GA,DAY,"Dayton, OH",Dayton,OH,432
188,ATL,"Atlanta, GA",Atlanta,GA,DCA,"Washington, DC",Washington,DC,547
189,ATL,"Atlanta, GA",Atlanta,GA,DEN,"Denver, CO",Denver,CO,1199
190,ATL,"Atlanta, GA",Atlanta,GA,DFW,"Dallas/Fort Worth, TX",Dallas/Fort Worth,TX,731
191,ATL,"Atlanta, GA",Atlanta,GA,DHN,"Dothan, AL",Dothan,AL,170
192,ATL,"Atlanta, GA",Atlanta,GA,DSM,"Des Moines, IA",Des Moines,IA,743
193,ATL,"Atlanta, GA",Atlanta,GA,DTW,"Detroit, MI",Detroit,MI,594
194,ATL,"Atlanta, GA",Atlanta,GA,ECP,"Panama City, FL",Panama City,FL,240
195,ATL,"Atlanta, GA",Atlanta,GA,EGE,"Eagle, CO",Eagle,CO,1312
196,ATL,"Atlanta, GA",Atlanta,GA,ELM,"Elmira/Corning, NY",Elmira/Corning,NY,717
197,ATL,"Atlanta, GA",Atlanta,GA,ELP,"El Paso, TX",El Paso,TX,1282
198,ATL,"Atlanta, GA",Atlanta,GA,EVV,"Evansville, IN",Evansville,IN,350
199,ATL,"Atlanta, GA",Atlanta,GA,EWN,"New Bern/Morehead/Beaufort, NC",New Bern/Morehead/Beaufort,NC,433
200,ATL,"Atlanta, GA",Atlanta,GA,EWR,"Newark, NJ",Newark,NJ,746
201,ATL,"Atlanta, GA",Atlanta,GA,EYW,"Key West, FL",Key West,FL,646
202,ATL,"Atlanta, GA",Atlanta,GA,FAR,"Fargo, ND",Fargo,ND,1123
203,ATL,"Atlanta, GA",Atlanta,GA,FAY,"Fayetteville, NC",Fayetteville,NC,331
204,ATL,"Atlanta, GA",Atlanta,GA,FCA,"Kalispell, MT",Kalispell,MT,1842
205,ATL,"Atlanta, GA",Atlanta,GA,FLL,"Fort Lauderdale, FL",Fort Lauderdale,FL,581
206,ATL,"Atlanta, GA",Atlanta,GA,FNT,"Flint, MI",Flint,MI,645
207,ATL,"Atlanta, GA",Atlanta,GA,FSD,"Sioux Falls, SD",Sioux Falls,SD,954
208,ATL,"Atlanta, GA",Atlanta,GA,FSM,"Fort Smith, AR",Fort Smith,AR,579
209,ATL,"Atlanta, GA",Atlanta,GA,FWA,"Fort Wayne, IN",Fort Wayne,IN,508
210,ATL,"Atlanta, GA",Atlanta,GA,GNV,"Gainesville, FL",Gainesville,FL,300
211,ATL,"Atlanta, GA",Atlanta,GA,GPT,"Gulfport/Biloxi, MS",Gulfport/Biloxi,MS,352
212,ATL,"Atlanta, GA",Atlanta,GA,GRB,"Green Bay, WI",Green Bay,WI,774
213,ATL,"Atlanta, GA",Atlanta,GA,GRK,"Killeen, TX",Killeen,TX,803
214,ATL,"Atlanta, GA",Atlanta,GA,GRR,"Grand Rapids, MI",Grand Rapids,MI,640
215,ATL,"Atlanta, GA",Atlanta,GA,GSO,"Greensboro/High Point, NC",Greensboro/High Point,NC,306
216,ATL,"Atlanta, GA",Atlanta,GA,GSP,"Greer, SC",Greer,SC,153
217,ATL,"Atlanta, GA",Atlanta,GA,GTR,"Columbus, MS",Columbus,MS,241
218,ATL,"Atlanta, GA",Atlanta,GA,HDN,"Hayden, CO",Hayden,CO,1340
219,ATL,"Atlanta, GA",Atlanta,GA,HHH,"Hilton Head, SC",Hilton Head,SC,238
220,ATL,"Atlanta, GA",Atlanta,GA,HNL,"Honolulu, HI",Honolulu,HI,4502
221,ATL,"Atlanta, GA",Atlanta,GA,HOU,"Houston, TX",Houston,TX,696
222,ATL,"Atlanta, GA",Atlanta,GA,HPN,"White Plains, NY",White Plains,NY,780
223,ATL,"Atlanta, GA",Atlanta,GA,HSV,"Huntsville, AL",Huntsville,AL,151
224,ATL,"Atlanta, GA",Atlanta,GA,IAD,"Washington, DC",Washington,DC,534
225,ATL,"Atlanta, GA",Atlanta,GA,IAH,"Houston, TX",Houston,TX,689
226,ATL,"Atlanta, GA",Atlanta,GA,ICT,"Wichita, KS",Wichita,KS,782
227,ATL,"Atlanta, GA",Atlanta,GA,ILM,"Wilmington, NC",Wilmington,NC,377
228,ATL,"Atlanta, GA",Atlanta,GA,IND,"Indianapolis, IN",Indianapolis,IN,432
229,ATL,"Atlanta, GA",Atlanta,GA,ISP,"Islip, NY",Islip,NY,795
230,ATL,"Atlanta, GA",Atlanta,GA,JAC,"Jackson, WY",Jackson,WY,1572
231,ATL,"Atlanta, GA",Atlanta,GA,JAN,"Jackson/Vicksburg, MS",Jackson/Vicksburg,MS,341
232,ATL,"Atlanta, GA",Atlanta,GA,JAX,"Jacksonville, FL",Jacksonville,FL,270
233,ATL,"Atlanta, GA",Atlanta,GA,JFK,"New York, NY",New York,NY,760
234,ATL,"Atlanta, GA",Atlanta,GA,LAS,"Las Vegas, NV",Las Vegas,NV,1747
235,ATL,"Atlanta, GA",Atlanta,GA,LAX,"Los Angeles, CA",Los Angeles,CA,1947
236,ATL,"Atlanta, GA",Atlanta,GA,LEX,"Lexington, KY",Lexington,KY,304
237,ATL,"Atlanta, GA",Atlanta,GA,LFT,"Lafayette, LA",Lafayette,LA,503
238,ATL,"Atlanta, GA",Atlanta,GA,LGA,"New York, NY",New York,NY,762
239,ATL,"Atlanta, GA",Atlanta,GA,LIT,"Little Rock, AR",Little Rock,AR,453
240,ATL,"Atlanta, GA",Atlanta,GA,LNK,"Lincoln, NE",Lincoln,NE,841
241,ATL,"Atlanta, GA",Atlanta,GA,MCI,"Kansas City, MO",Kansas City,MO,692
242,ATL,"Atlanta, GA",Atlanta,GA,MCO,"Orlando, FL",Orlando,FL,404
243,ATL,"Atlanta, GA",Atlanta,GA,MDT,"Harrisburg, PA",Harrisburg,PA,620
244,ATL,"Atlanta, GA",Atlanta,GA,MDW,"Chicago, IL",Chicago,IL,591
245,ATL,"Atlanta, GA",Atlanta,GA,MEM,"Memphis, TN",Memphis,TN,332
246,ATL,"Atlanta, GA",Atlanta,GA,MGM,"Montgomery, AL",Montgomery,AL,147
247,ATL,"Atlanta, GA",Atlanta,GA,MHT,"Manchester, NH",Manchester,NH,952
248,ATL,"Atlanta, GA",Atlanta,GA,MIA,"Miami, FL",Miami,FL,594
249,ATL,"Atlanta, GA",Atlanta,GA,MKE,"Milwaukee, WI",Milwaukee,WI,669
250,ATL,"Atlanta, GA",Atlanta,GA,MLB,"Melbourne, FL",Melbourne,FL,442
251,ATL,"Atlanta, GA",Atlanta,GA,MLI,"Moline, IL",Moline,IL,633
252,ATL,"Atlanta, GA",Atlanta,GA,MLU,"Monroe, LA",Monroe,LA,448
253,ATL,"Atlanta, GA",Atlanta,GA,MOB,"Mobile, AL",Mobile,AL,302
254,ATL,"Atlanta, GA",Atlanta,GA,MSN,"Madison, WI",Madison,WI,707
255,ATL,"Atlanta, GA",Atlanta,GA,MSO,"Missoula, MT",Missoula,MT,1800
256,ATL,"Atlanta, GA",Atlanta,GA,MSP,"Minneapolis, MN",Minneapolis,MN,907
257,ATL,"Atlanta, GA",Atlanta,GA,MSY,"New Orleans, LA",New Orleans,LA,425
258,ATL,"Atlanta, GA",Atlanta,GA,MTJ,"Montrose/Delta, CO",Montrose/Delta,CO,1352
259,ATL,"Atlanta, GA",Atlanta,GA,MYR,"Myrtle Beach, SC",Myrtle Beach,SC,317
260,ATL,"Atlanta, GA",Atlanta,GA,OAJ,"Jacksonville/Camp Lejeune, NC",Jacksonville/Camp Lejeune,NC,399
261,ATL,"Atlanta, GA",Atlanta,GA,OAK,"Oakland, CA",Oakland,CA,2130
262,ATL,"Atlanta, GA",Atlanta,GA,OKC,"Oklahoma City, OK",Oklahoma City,OK,761
263,ATL,"Atlanta, GA",Atlanta,GA,OMA,"Omaha, NE",Omaha,NE,821
264,ATL,"Atlanta, GA",Atlanta,GA,ONT,"Ontario, CA",Ontario,CA,1900
265,ATL,"Atlanta, GA",Atlanta,GA,ORD,"Chicago, IL",Chicago,IL,606
266,ATL,"Atlanta, GA",Atlanta,GA,ORF,"Norfolk, VA",Norfolk,VA,516
267,ATL,"Atlanta, GA",Atlanta,GA,PBI,"West Palm Beach/Palm Beach, FL",West Palm Beach/Palm Beach,FL,545
